512  players
50000  iterations
*tournament.SingleElimination
 Players , Win   , Depth , DepthExp
    4 ,  0.64 ,  3.10 ,  4.04
    8 ,  0.89 ,  7.93 , 12.78
   16 ,  0.87 , 18.46 , 36.56
   32 ,  0.97 , 36.47 , 82.26
   64 ,  0.98 , 67.28 , 166.50
  128 ,  0.95 , 110.56 , 267.79
  256 ,  0.94 , 151.36 , 343.18
  512 ,  0.94 , 193.35 , 463.83

*tournament.DoubleElimination
 Players , Win   , Depth , DepthExp
    4 ,  0.61 ,  3.11 ,  3.86
    8 ,  0.77 ,  7.81 , 12.10
   16 ,  0.94 , 18.63 , 37.07
   32 ,  0.97 , 35.44 , 78.82
   64 ,  0.94 , 63.68 , 150.85
  128 ,  0.94 , 102.33 , 226.71
  256 ,  0.95 , 138.10 , 288.71
  512 ,  0.94 , 178.28 , 366.62

*tournament.DoubleEliminationExtendedSeries
 Players , Win   , Depth , DepthExp
    4 ,  0.61 ,  3.13 ,  3.93
    8 ,  0.82 ,  7.83 , 12.34
   16 ,  0.95 , 18.09 , 35.75
   32 ,  0.93 , 35.49 , 79.34
   64 ,  0.91 , 63.65 , 146.26
  128 ,  0.91 , 102.33 , 232.98
  256 ,  0.92 , 135.98 , 292.12
  512 ,  0.94 , 166.37 , 354.15

*tournament.RoundRobin
 Players , Win   , Depth , DepthExp
    4 ,  0.49 ,  2.65 ,  3.24
    8 ,  0.78 ,  7.73 , 12.19
   16 ,  0.83 , 16.68 , 30.21
   32 ,  0.86 , 28.38 , 54.90
   64 ,  0.81 , 37.32 , 63.61
  128 ,  0.80 , 44.33 , 66.37
  256 ,  0.73 , 45.85 , 62.83
  512 ,  0.75 , 49.76 , 66.74

